url,jurisdiction,case_id,title,decision_year,nace_code,nace_label,companies,legal_basis,companies_normalized,docx_path
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Kartellverbot/2017/B1-164-13_B1-167-13_B1-87-14_B1-47-15.pdf?__blob=publicationFile&v=3,German,B1-164-13_B1-167-13_B1-87-14_B1-47-15,Fines for Vertical Price Fixing in the Furniture Distribution Sector,2017,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""h\u00fclsta-werke H\u00fcls GmbH & Co. KG"", ""Rolf Benz AG & Co. KG"", ""Heinz Kettler GmbH"", ""aeris GmbH"", ""Zebra Nord GmbH""]",Art. 101 TFEU,"[""hulsta-werke huls"", ""rolf benz"", ""heinz kettler"", ""aeris"", ""zebra nord""]",B1-164-13_B1-167-13_B1-87-14_B1-47-15.docx
http://www.bundeskartellamt.de:80/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2017/B1-164-13_B1-167-13_B1-87-14_B1-47-15.pdf;jsessionid=16A797222630432D5AAAB37995EBA4A8.2_cid387?__blob=publicationFile&v=4,German,B1-164-13_B1-167-13_B1-87-14_B1-47-15,Bundeskartellamt Imposes Fines for Vertical Price Fixing in Furniture Sales,2017,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""h\u00fclsta-werke H\u00fcls GmbH & Co. KG"", ""Rolf Benz AG & Co. KG"", ""Heinz Kettler GmbH"", ""aeris GmbH"", ""Zebra Nord GmbH""]",Art. 101 TFEU,"[""hulsta-werke huls"", ""rolf benz"", ""heinz kettler"", ""aeris"", ""zebra nord""]",B1-164-13_B1-167-13_B1-87-14_B1-47-15.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Kartellverbot/2017/B1-164-13_B1-167-13_B1-87-14_B1-47-15.pdf?__blob=publicationFile&v=3,German,B1-164-13_B1-167-13_B1-87-14_B1-47-15,Bundeskartellamt Imposes Fines for Vertical Price Fixing in Furniture Sales,2017,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""h\u00fclsta-werke H\u00fcls GmbH & Co. KG"", ""Rolf Benz AG & Co. KG"", ""Heinz Kettler GmbH"", ""aeris GmbH"", ""Zebra Nord GmbH""]",Art. 101 TFEU,"[""hulsta-werke huls"", ""rolf benz"", ""heinz kettler"", ""aeris"", ""zebra nord""]",B1-164-13_B1-167-13_B1-87-14_B1-47-15.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Kartellverbot/2019/B1-189-18_B1-11-15.pdf?__blob=publicationFile&v=1,German,B1-189-18_B1-11-15,Fine Proceeding Against Manufacturer of Asphalt Mixes,2019,C,Manufacturing,"[""Gaul GmbH"", ""K.H. Gaul GmbH & Co. KG"", ""STRABAG"", ""S\u00fcdhessische Asphalt-Mischwerke GmbH & Co. KG"", ""Werhahn"", ""Mitteldeutsche Hartstein-Industrie GmbH"", ""MHI GmbH"", ""Mitteldeutsche Hartstein-Industrie AG"", ""MHI AG"", ""Odenw\u00e4lder Hartstein-Industrie GmbH"", ""OHI""]",Art. 101 TFEU,"[""gaul"", ""k.h. gaul"", ""strabag"", ""sudhessische asphalt-mischwerke"", ""werhahn"", ""mitteldeutsche hartstein-industrie"", ""mhi"", ""mitteldeutsche hartstein-industrie"", ""mhi"", ""odenwalder hartstein-industrie"", ""ohi""]",B1-189-18_B1-11-15.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2020/B1-195-19.pdf;jsessionid=386C8E83C65363F9B6D14CE5AB2A9DAD.1_cid390?__blob=publicationFile&v=4,German,B1-195-19,Merger Control Procedure B1-195/19,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Mann Mobilia Beteiligungs GmbH"", ""ASF Entwicklungs- und Verwaltungs GmbH"", ""Tejo M\u00f6bel Management Holding GmbH & Co. KG"", ""Roller GmbH & Co. KG"", ""TesCom GmbH & Co. KG Gesellschaft f\u00fcr Kapital und Grundbesitz"", ""Tessner Holding KG"", ""Tessner Beteiligungs GmbH""]",Merger,"[""mann mobilia beteiligungs"", ""asf entwicklungs- und verwaltungs"", ""tejo mobel management"", ""roller"", ""tescom gmbh & co. kg gesellschaft fur kapital und grundbesitz"", ""tessner"", ""tessner beteiligungs""]",B1-195-19.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Fusionskontrolle/2020/B1-195-19.pdf?__blob=publicationFile&v=2,German,B1-195-19,Merger Control Procedure B1-195/19,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Mann Mobilia Beteiligungs GmbH"", ""ASF Entwicklungs- und Verwaltungs GmbH"", ""Tejo M\u00f6bel Management Holding GmbH & Co. KG"", ""Roller GmbH & Co. KG"", ""TesCom GmbH & Co. KG Gesellschaft f\u00fcr Kapital und Grundbesitz"", ""Tessner Holding KG"", ""Tessner Beteiligungs GmbH""]",Merger,"[""mann mobilia beteiligungs"", ""asf entwicklungs- und verwaltungs"", ""tejo mobel management"", ""roller"", ""tescom gmbh & co. kg gesellschaft fur kapital und grundbesitz"", ""tessner"", ""tessner beteiligungs""]",B1-195-19.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2020/B1-195-19.pdf;jsessionid=386C8E83C65363F9B6D14CE5AB2A9DAD.1_cid390?__blob=publicationFile&v=4,German,B1-195-19,Acquisition by XXXLutz Group of 50% of Shares in Roller GmbH & Co. KG and Tejo MÃ¶bel Management Holding GmbH & Co. KG,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""XXXLutz group"", ""Roller GmbH & Co. KG"", ""Tejo M\u00f6bel Management Holding GmbH & Co. KG"", ""Mann Mobilia Beteilungs GmbH"", ""Tessner Holding KG"", ""Tessner group""]",Merger,"[""xxxlutz"", ""roller"", ""tejo mobel management"", ""mann mobilia beteilungs"", ""tessner"", ""tessner""]",B1-195-19.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Fusionskontrolle/2020/B1-195-19.pdf?__blob=publicationFile&v=2,German,B1-195-19,Acquisition by XXXLutz Group of 50% of Shares in Roller GmbH & Co. KG and Tejo MÃ¶bel Management Holding GmbH & Co. KG,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""XXXLutz group"", ""Roller GmbH & Co. KG"", ""Tejo M\u00f6bel Management Holding GmbH & Co. KG"", ""Mann Mobilia Beteilungs GmbH"", ""Tessner Holding KG"", ""Tessner group""]",Merger,"[""xxxlutz"", ""roller"", ""tejo mobel management"", ""mann mobilia beteilungs"", ""tessner"", ""tessner""]",B1-195-19.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2020/B1-195_19.pdf;jsessionid=0F923AD5BC852B0026408B361EB98325.1_cid381?__blob=publicationFile&v=4,German,B1-195_19,Acquisition of 50 Percent of Shares in Roller GmbH & Co. KG and Tejo MÃ¶bel Management Holding GmbH & Co. KG by XXXLutz Group,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Roller GmbH & Co. KG"", ""Tejo M\u00f6bel Management Holding GmbH & Co. KG"", ""XXXLutz-Gruppe"", ""Mann Mobilia Beteiligungs GmbH"", ""Tessner-Gruppe"", ""Tessner Holding KG""]",Merger,"[""roller"", ""tejo mobel management"", ""xxxlutz-"", ""mann mobilia beteiligungs"", ""tessner-"", ""tessner""]",B1-195_19.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Kartellverbot/2009/B1-200-06.pdf?__blob=publicationFile&v=4,German,B1-200-06,Fine Proceedings Against Companies in the German Clay Roof Tile Sector,2009,C,Manufacturing,"[""Creaton AG"", ""Pfleiderer Dachziegel GmbH"", ""Etex Holding GmbH"", ""Koramic Dachprodukte GmbH & Co. KG"", ""Monier GmbH"", ""Erlus AG"", ""Jacobi Tonwerke GmbH"", ""Walther Dachziegel GmbH"", ""Gebr. Laumans GmbH & Co. KG"", ""Nelskamp GmbH""]",Art. 101 TFEU,"[""creaton"", ""pfleiderer dachziegel"", ""etex"", ""koramic dachprodukte"", ""monier"", ""erlus"", ""jacobi tonwerke"", ""walther dachziegel"", ""gebr. laumans"", ""nelskamp""]",B1-200-06.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2014/B1-208-14.pdf;jsessionid=D2DAED8809B2AF5E6B973B6739235617.2_cid371?__blob=publicationFile&v=4,German,B1-208-14,Approval of the Acquisition of Sanitec by Geberit,2014,C,Manufacturing,"[""Geberit International AG"", ""Sanitec Oyj""]",Merger,"[""geberit"", ""sanitec""]",B1-208-14.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2020/B1-216-17.pdf?__blob=publicationFile&v=2,German,B1-216-17,Dismantling of Joint Ventures in the Ready-Mixed Concrete Sector,2020,C,Manufacturing,[],Merger,[],B1-216-17.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Fusionskontrolle/2020/B1-216-17.pdf?__blob=publicationFile&v=2,German,B1-216-17,Dismantling of Joint Ventures in the Ready-Mixed Concrete Sector,2020,C,Manufacturing,[],Merger,[],B1-216-17.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2020/B1-216-17.pdf?__blob=publicationFile&v=2,German,B1-216-17,Unbundling of Joint Ventures in the Ready-Mix Concrete Sector,2020,F,Construction,[],Merger,[],B1-216-17.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Fusionskontrolle/2020/B1-216-17.pdf?__blob=publicationFile&v=2,German,B1-216-17,Unbundling of Joint Ventures in the Ready-Mix Concrete Sector,2020,F,Construction,[],Merger,[],B1-216-17.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2019/B1-229-18.pdf?__blob=publicationFile&v=2,German,B1-229-18,No Membership of KGH GmbH & Co. KG (Krieger/HÃ¶ffner Group) in the Furniture Purchasing Cooperation VME/MHK/Union,2019,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""KGH GmbH & Co. KG"", ""VME Union GmbH"", ""KHG GmbH & Co. KG"", ""MHK Group"", ""Union Einkaufs-GmbH"", ""Einrichtungspartnerring VME""]",Merger,"[""kgh"", ""vme union"", ""khg"", ""mhk"", ""union einkaufs-"", ""einrichtungspartnerring vme""]",B1-229-18.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Kartellverbot/2018/B1-240_17.pdf;jsessionid=D89218736EF30DF6196416BFD47859F0.2_cid378?__blob=publicationFile&v=2,German,B1-240_17,No more general price increase circulars in the cement industry,2018,C,Manufacturing,[],Art. 101 TFEU,[],B1-240_17.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Kartellverbot/2005/B1-248-04.pdf?__blob=publicationFile&v=1,German,B1-248-04,Decision on the Cooperation Project of Brickworks in Germany,2005,C,Manufacturing,"[""Ziegelwerk Bellenberg Wiest GmbH & Co. KG"", ""JUW\u00d6 Poroton \u2013 Werk Ernst Jungk & Sohn GmbH"", ""Ziegelwerk Klosterbeuren, Ludwig-Leinsing GmbH & Co."", ""Georg Rimmele KG"", ""J. G. Scheerle KG"", ""Adolf Zeller GmbH & Co. KG"", ""Mein Ziegelhaus GmbH & Co. KG""]",Art. 101 TFEU,"[""ziegelwerk bellenberg wiest"", ""juwo poroton – werk ernst jungk & sohn"", ""ziegelwerk klosterbeuren, ludwig-leinsing"", ""georg rimmele"", ""j. g. scheerle"", ""adolf zeller"", ""mein ziegelhaus""]",B1-248-04.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2000/B1-280-99.pdf?__blob=publicationFile&v=1,German,B1-280-99,Merger of Lafarge Braas GmbH and Heisterholz Rauch VermÃ¶gensverwaltung GmbH & Co. Beteiligungs KG,2000,C,Manufacturing,"[""Lafarge Braas GmbH"", ""Heisterholz Rauch Verm\u00f6gensverwaltungs GmbH & Co. Beteiligungs KG"", ""Tonindustrie Heisterholz Ernst Rauch GmbH & Co."", ""Tonindustrie Verwaltungsgesellschaft mbH"", ""Heisterholz"", ""Braas-Gruppe"", ""Heisterholz Rauch Verm\u00f6gensverwaltung GmbH & Co Beteiligungs KG"", ""Schwenk KG"", ""Lafarge S.A.""]",Merger,"[""lafarge braas"", ""heisterholz rauch vermogensverwaltungs gmbh & co. beteiligungs"", ""tonindustrie heisterholz ernst rauch"", ""tonindustrie verwaltungsgesellschaft mbh"", ""heisterholz"", ""braas-"", ""heisterholz rauch vermogensverwaltung gmbh & co beteiligungs"", ""schwenk"", ""lafarge""]",B1-280-99.docx
http://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Fusionskontrolle/2017/B1-34-17.pdf;jsessionid=24F643DE91367296E48B1F03F6240979.2_cid371?__blob=publicationFile&v=3,German,B1-34-17,Withdrawal of the Notification of the Intended Acquisition of Sovitec Mondial S.A. by Potters Industries LLC,2017,C,Manufacturing,"[""Sovitec Mondial S.A."", ""Potters Industries LLC""]",Merger,"[""sovitec mondial"", ""potters industries""]",B1-34-17.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2021/B1-40-06_B1-110-09.pdf;jsessionid=D03C095FEB741A2C0A1ED9870BFF28C7.1_cid387?__blob=publicationFile&v=2,German,B1-40-06_B1-110-09,"Fine Proceedings Against Mortar Manufacturers, Two Trade Cooperations and Two Building Material Trade Associations",2021,C,Manufacturing,[],Art. 101 TFEU,[],B1-40-06_B1-110-09.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Fusionskontrolle/2023/B1-40-21.pdf?__blob=publicationFile&v=6,German,B1-40-21,Merger of SÃ¼dbayerisches Portland-Zementwerk Gebr. WiesbÃ¶ck & Co. GmbH and Ganser Baustoffe GmbH & Co. KG,2023,C,Manufacturing,"[""S\u00fcdbayerisches Portland-Zementwerk Gebr. Wiesb\u00f6ck & Co. GmbH"", ""Ganser Baustoffe GmbH & Co. KG"", ""G\u00fcnter und Rosemarie Ganser Beteiligungen GmbH & Co. KG"", ""PS-Beton Piederstorfer Solnhofer Transportbeton GmbH & Co. KG"", ""SAKRET Trockenbaustoffe Europa GmbH & Co. KG""]",Merger,"[""sudbayerisches portland-zementwerk gebr. wiesbock"", ""ganser baustoffe"", ""gunter und rosemarie ganser beteiligungen"", ""ps-beton piederstorfer solnhofer transportbeton"", ""sakret trockenbaustoffe europa""]",B1-40-21.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Entscheidungen/Kartellverbot/2015/B1-62-13.pdf;jsessionid=36C3DABE8CB869ED414063E394896867.2_cid381?__blob=publicationFile&v=3,German,B1-62-13,Prohibition of Non-Compete Clauses by VR Franconia GmbH,2015,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""VR Franconia GmbH"", ""Value Retail-Konzern""]",Art. 101 TFEU,"[""vr franconia"", ""value retail-konzern""]",B1-62-13.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Missbrauchsaufsicht/2020/B1-7-19-7.pdf;jsessionid=8EA7C3F9967E9BF1A99F9822F9171F25.1_cid387?__blob=publicationFile&v=4,German,B1-7-19-7,Bundeskartellamt Shows XXXLutz Competition Law Limits on Special Discount Demands,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""XXXLutz KG""]",Art. 102 TFEU,"[""xxxlutz""]",B1-7-19-7.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Missbrauchsaufsicht/2020/B1-7-19-7.pdf?__blob=publicationFile&v=2,German,B1-7-19-7,Bundeskartellamt Shows XXXLutz Competition Law Limits on Special Discount Demands,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""XXXLutz KG""]",Art. 102 TFEU,"[""xxxlutz""]",B1-7-19-7.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Missbrauchsaufsicht/2020/B1-7-19-7.pdf;jsessionid=8EA7C3F9967E9BF1A99F9822F9171F25.1_cid387?__blob=publicationFile&v=4,German,B1-7-19-7,Bundeskartellamt's Review of XXXLutz's Demands for Anniversary Rebates,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""XXXLutz KG""]",Art. 102 TFEU,"[""xxxlutz""]",B1-7-19-7.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/EN/Fallberichte/Missbrauchsaufsicht/2020/B1-7-19-7.pdf?__blob=publicationFile&v=2,German,B1-7-19-7,Bundeskartellamt's Review of XXXLutz's Demands for Anniversary Rebates,2020,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""XXXLutz KG""]",Art. 102 TFEU,"[""xxxlutz""]",B1-7-19-7.docx
http://www.bundeskartellamt.de:80/SharedDocs/Entscheidung/DE/Entscheidungen/Kartellverbot/2015/B1-72-12.pdf;jsessionid=3BC03076FF7D9825F40E3581B6F47DFD.1_cid378?__blob=publicationFile&v=5,German,B1-72-12,Decision of the Federal Cartel Office on the Marketing of Coniferous Timber in Baden-WÃ¼rttemberg,2015,A,"Agriculture, Forestry and Fishing","[""Land Baden-W\u00fcrttemberg"", ""VSH Verband der S\u00e4ge- und Holzindustrie Baden-W\u00fcrttemberg e.V."", ""Forstkammer Baden-W\u00fcrttemberg e.V."", ""DeSH Deutsche S\u00e4ge- und Holzindustrie Bundesverband e.V."", ""Arbeitsgemeinschaft Deutscher Waldbesitzerverb\u00e4nde e.V."", ""Bundesverband Freiberuflicher Forstsachverst\u00e4ndiger e.V."", ""Wald Plus GmbH""]",Art. 101 TFEU,"[""land baden-wurttemberg"", ""vsh verband der sage- und holzindustrie baden-wurttemberg e.v."", ""forstkammer baden-wurttemberg e.v."", ""desh deutsche sage- und holzindustrie bundesverband e.v."", ""arbeitsgemeinschaft deutscher waldbesitzerverbande e.v."", ""bundesverband freiberuflicher forstsachverstandiger e.v."", ""wald plus""]",B1-72-12.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2012/B10-101-11.pdf?__blob=publicationFile&v=4,German,B10-101-11,Fines against Manufacturers of Power Transformers,2012,C,Manufacturing,"[""ABB AG"", ""Alstom Grid GmbH"", ""Siemens AG"", ""Starkstrom-Ger\u00e4tebau GmbH""]",Art. 101 TFEU,"[""abb"", ""alstom grid"", ""siemens"", ""starkstrom-geratebau""]",B10-101-11.docx
https://www.bundeskartellamt.de/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2015/B10-102-11-aktualisiert.pdf?__blob=publicationFile&v=1,German,B10-102-11-aktualisiert,Fines Against Manufacturers of Automatic Door Systems,2015,C,Manufacturing,"[""Assa Abloy Entrance Systems GmbH"", ""Blasi GmbH"", ""Boon Edam GmbH"", ""Dorma Automatic GmbH + Co. KG KT Systeme"", ""Geze GmbH"", ""GU Automatic GmbH"", ""GU Service GmbH & Co. KG"", ""Kaba Gallensch\u00fctz GmbH"", ""Landert Motoren AG"", ""record T\u00fcrautomation GmbH"", ""Wirtschaftsvereinigung Industrie- und Bausysteme e. V.""]",Art. 101 TFEU,"[""assa abloy entrance systems"", ""blasi"", ""boon edam"", ""dorma automatic gmbh + co. kg kt systeme"", ""geze"", ""gu automatic"", ""gu service"", ""kaba gallenschutz"", ""landert motoren"", ""record turautomation"", ""wirtschaftsvereinigung industrie- und bausysteme e. v.""]",B10-102-11-aktualisiert.docx
http://www.bundeskartellamt.de:80/SharedDocs/Entscheidung/DE/Fallberichte/Kartellverbot/2014/B10-105-11.pdf;jsessionid=013A43925165C13CCD6537C0A7CD7BA5.1_cid362?__blob=publicationFile&v=1,German,B10-105-11,Fines Against Breweries,2014,C,Manufacturing,"[""Bitburger Braugruppe GmbH"", ""Carlsberg Deutschland GmbH"", ""Krombacher Brauerei Bernhard Schadeberg GmbH & Co. KG"", ""Radeberger Gruppe KG"", ""C. & A. Veltins GmbH & Co. KG"", ""Warsteiner Brauerei Haus Cramer KG"", ""Privat-Brauerei Ernst Barre GmbH"", ""Privat-Brauerei Bolten GmbH & Co. KG"", ""Erzquell Brauerei Bielstein Haas & Co. KG"", ""C\u00f6lner Hofbr\u00e4u P. Josef Fr\u00fch KG"", ""Privat-Brauerei Gaffel Becker & Co. OHG"", ""Verband Rheinisch-Westf\u00e4lischer Brauereien e. V."", ""Anheuser-Busch InBev Germany Holding GmbH"", ""AB InBev""]",Art. 101 TFEU,"[""bitburger braugruppe"", ""carlsberg"", ""krombacher brauerei bernhard schadeberg"", ""radeberger"", ""c. & a. veltins"", ""warsteiner brauerei haus cramer"", ""privat-brauerei ernst barre"", ""privat-brauerei bolten"", ""erzquell brauerei bielstein haas"", ""colner hofbrau p. josef fruh"", ""privat-brauerei gaffel becker"", ""verband rheinisch-westfalischer brauereien e. v."", ""anheuser-busch inbev"", ""ab inbev""]",B10-105-11.docx
